iter	Logloss
0	0.6747267264
1	0.6488968708
2	0.6283217962
3	0.6120919949
4	0.5973755095
5	0.586409388
6	0.5734891471
7	0.5633878821
8	0.557584256
9	0.5473713899
10	0.5347474783
11	0.5247581286
12	0.516188291
13	0.5118373643
14	0.5058059294
15	0.491206332
16	0.4870503408
17	0.4804796923
18	0.4695141989
19	0.4657164098
20	0.4521368741
21	0.4465481273
22	0.4432737433
23	0.4396521499
24	0.4366823659
25	0.4337739834
26	0.4271979956
27	0.4250121416
28	0.4215173296
29	0.4181964626
30	0.4159549651
31	0.4136133824
32	0.4107987512
33	0.4075070931
34	0.4037752334
35	0.4012842822
36	0.3965324392
37	0.3938898162
38	0.3918344078
39	0.3875203586
40	0.3853087504
41	0.3844210188
42	0.3790067142
43	0.3763329977
44	0.3739139434
45	0.3648212502
46	0.3633679489
47	0.3605542861
48	0.3573668745
49	0.3555145677
50	0.3542102685
51	0.3527634318
52	0.3494121781
53	0.348528163
54	0.3477801945
55	0.3460187599
56	0.3433768173
57	0.3409694099
58	0.3386566959
59	0.3381717648
60	0.3374457554
61	0.3367838957
62	0.3337501451
63	0.3332653711
64	0.3324800277
65	0.3312677001
66	0.3294699375
67	0.3281353301
68	0.3270446016
69	0.3260280994
70	0.3245945586
71	0.3224283342
72	0.3202691504
73	0.317529295
74	0.3166461175
75	0.3137725449
76	0.3131065237
77	0.3121826735
78	0.3094449644
79	0.3073463707
80	0.3052414956
81	0.30464779
82	0.301849386
83	0.3005104339
84	0.2997944487
85	0.2975234805
86	0.2953531208
87	0.2946207513
88	0.2926838014
89	0.2920088029
90	0.2912888917
91	0.2909626991
92	0.2904536629
93	0.2896493703
94	0.2887364866
95	0.2880604411
96	0.2876793902
97	0.2852062627
98	0.2842990061
99	0.2840417005
100	0.2828291896
101	0.2816242165
102	0.2798922787
103	0.2793494009
104	0.2782651109
105	0.2765270225
106	0.2754685913
107	0.2750970935
108	0.2744016802
109	0.2729059002
110	0.2704841501
111	0.2693027326
112	0.2685703108
113	0.2666157465
114	0.2650873813
115	0.2634273404
116	0.2618353489
117	0.2595040261
118	0.2578224449
119	0.2574626463
120	0.2567926207
121	0.2564437886
122	0.2540809012
123	0.251613427
124	0.2514888441
125	0.2508191325
126	0.2487875415
127	0.2480232934
128	0.247634286
129	0.246323051
130	0.2448144202
131	0.2430058743
132	0.2410679822
133	0.2401594954
134	0.2398343759
135	0.2392933826
136	0.2380153086
137	0.2370675626
138	0.2365677391
139	0.235578195
140	0.2350142742
141	0.2339542726
142	0.2330640546
143	0.231940008
144	0.2312160139
145	0.2307300882
146	0.2302287468
147	0.2286014481
148	0.2276672334
149	0.2269304931
150	0.2258264426
151	0.2251568357
152	0.2247356356
153	0.2233085595
154	0.2223089388
155	0.2210259182
156	0.2206002425
157	0.2199719887
158	0.2192584899
159	0.2175606292
160	0.2165518611
161	0.2160750567
162	0.2152387809
163	0.214554491
164	0.2134122151
165	0.2124801073
166	0.2114343176
167	0.2106811146
168	0.2088846345
169	0.2080481624
170	0.2067162901
171	0.2058681057
172	0.2054406764
173	0.2044298014
174	0.2031906465
175	0.2007582832
176	0.200608823
177	0.2004424944
178	0.1997388104
179	0.1979135401
180	0.1971094831
181	0.1964506202
182	0.195963543
183	0.1953732661
184	0.1941411909
185	0.1933826224
186	0.1923267431
187	0.1919240473
188	0.1912991044
189	0.1910819873
190	0.1904046725
191	0.1893701502
192	0.1889292419
193	0.1873659752
194	0.1865813909
195	0.1847220959
196	0.1841034214
197	0.1834469795
198	0.1824771435
199	0.1813434915
200	0.1800046179
201	0.179031301
202	0.1780217608
203	0.1777246332
204	0.1771515126
205	0.1759955089
206	0.17551241
207	0.1746872708
208	0.1742178471
209	0.1729190835
210	0.1725249985
211	0.1723633941
212	0.1712534939
213	0.1706933944
214	0.1700866809
215	0.1697065199
216	0.1691874724
217	0.1684266792
218	0.1676508105
219	0.1673564703
220	0.1668026522
221	0.1661741367
222	0.1654020892
223	0.1650033192
224	0.1646116945
225	0.164140334
226	0.1631790697
227	0.1627328483
228	0.1622402355
229	0.1612310094
230	0.1607774596
231	0.1601750777
232	0.1593289086
233	0.1586799128
234	0.1581690837
235	0.1576514758
236	0.1570510569
237	0.1567729177
238	0.1564894786
239	0.1561165674
240	0.1557273898
241	0.1553355818
242	0.1548658834
243	0.1545724854
244	0.1543854017
245	0.1541077729
246	0.1537663608
247	0.1532652287
248	0.1526684871
249	0.1517160299
250	0.151248229
251	0.1507387609
252	0.150452194
253	0.1501961186
254	0.1496616684
255	0.1491672628
256	0.1488215191
257	0.148262558
258	0.1478089952
259	0.1475833326
260	0.1468000438
261	0.1464926565
262	0.146048385
263	0.1456111147
264	0.1454461078
265	0.1450683285
266	0.1447766187
267	0.1443401467
268	0.144048764
269	0.1437751004
270	0.1435371366
271	0.1431512961
272	0.1427574205
273	0.1424615099
274	0.1421932903
275	0.141866836
276	0.1415044463
277	0.141120307
278	0.1409289832
279	0.1407992181
280	0.1404563273
281	0.1400282044
282	0.1397352383
283	0.1393354476
284	0.1389554436
285	0.1386740459
286	0.138471638
287	0.1382178919
288	0.1378305333
289	0.1376556985
290	0.137425953
291	0.1372668219
292	0.1369780042
293	0.1366315277
294	0.1362473622
295	0.1360332288
296	0.1355435473
297	0.1353981832
298	0.1352057602
299	0.1345148224
